id,longitude,latitude,street
1,10.7217496,59.9399586,Vernon
2,-108.0887656,25.4765601,Towne
3,-79.796898,-4.581521,Holy Cross
4,43.7924407,43.4136328,Marcy
5,-43.2904739,-22.1588749,Burning Wood
6,39.7951718,55.1264168,Almo
7,16.7305754,45.4949897,Sauthoff
8,100.721884,22.62097,Northridge
9,103.573122,31.874138,Dennis
10,-15.9259271,13.919217,Petterle
11,9.8180732,4.8478109,Northland
12,45.2427175,43.708681,Eagan
13,117.7395532,-8.906419,Duke
14,-63.8581485,11.028458,Mandrake
15,2.054647,48.7865463,4th
16,99.4783816,14.3059024,Eggendart
17,121.0328004,14.4776308,Elgar
18,14.6280662,46.1515226,Mandrake
19,121.0589081,14.7596318,Walton
20,-96.3438274,30.671701,Graedel
21,12.4495221,32.7811016,Atwood
22,21.1594809,56.1636909,Crownhardt
23,104.066801,30.572815,Sugar
24,111.409653,23.236168,Victoria
25,122.6051351,-8.460409,Cascade
26,19.2911275,49.7053824,Bartillon
27,107.237743,34.363184,Continental
28,-82.4102628,22.9861757,Weeping Birch
29,81.324136,43.916823,Butternut
30,38.90906,55.47785,Clarendon
31,107.415889,29.1203,Sachs
32,127.1138939,36.815129,Duke
33,18.6917922,12.1862546,Ridge Oak
34,105.613174,27.141681,Dovetail
35,4.8265786,46.2993504,Holy Cross
36,108.6334,-7.1928,Graedel
37,120.047429,30.379545,Bay
38,116.809657,39.944315,Maple
39,22.5416683,40.2740679,Stephen
40,-6.176659,53.4487975,Longview
41,-86.1688177,13.1959918,Almo
42,5.4431946,43.5190858,Oak Valley
43,123.1900935,13.6615154,Ruskin
44,111.6556388,-7.5450262,Tennyson
45,-74.213611,-13.056944,Hoard
46,20.2325754,45.8987694,Pine View
47,151.9671197,7.514621,Melrose
48,123.236944,41.267244,Springview
49,37.4622629,55.706844,Mandrake
50,96.1367935,20.4314732,Welch
51,-83.65,41.7,Meadow Valley
52,110.011238,25.797931,Bultman
53,113.829156,22.719816,Elka
54,13.339803,52.4555293,Luster
55,24.4954399,56.8335579,Esker
56,19.23964,51.341376,Messerschmidt
57,110.6786933,-6.582711,Ludington
58,-0.3371889,40.7559095,Haas
59,19.6764505,51.4197881,Sullivan
60,-53.7365827,-24.7289094,Bluestem
61,140.6090975,37.8512533,Dixon
62,139.0842383,36.1638542,Saint Paul
63,103.1048449,14.4068464,Everett
64,107.905562,34.955825,American
65,122.3630092,11.7129451,Charing Cross
66,-46.0577071,-22.6118831,Duke
67,22.4329027,53.6985264,Pepper Wood
68,-72.0942187,5.4942923,Garrison
69,14.47611,35.90556,Waubesa
70,35.4328125,47.9403226,Farragut
71,-88.533333,14.75,Clyde Gallagher
72,19.6135793,53.2515219,Anthes
73,57.6874206,54.9896116,Dakota
74,121.0204582,14.5699334,Swallow
75,-90.5721841,14.5033033,Glacier Hill
76,30.1531568,8.296968,Nova
77,-100.3245306,21.037786,Morrow
78,1.0736574,49.4660029,Norway Maple
79,45.4759898,36.158405,Merrick
80,47.6947512,34.4740361,Kensington
81,15.7510575,50.2044695,Dixon
82,115.636717,30.83537,Westend
83,-87.5470024,13.4710669,Lukken
84,-100.4277766,25.8007724,Corben
85,70.5552362,37.1017088,Golf Course
86,119.460526,29.208918,Wayridge
87,7.0552218,13.5655838,Red Cloud
88,25.1973796,48.2521582,Truax
89,99.0819914,9.948601,Banding
90,115.614437,25.487867,Nelson
91,24.3530817,57.8552975,Maple
92,112.132488,34.728584,Springs
93,120.8333,16.8,Northfield
94,20.2689645,50.1143147,Barnett
95,6.3904955,47.3599545,Bartelt
96,-41.4812771,-19.9125279,Pond
97,119.110257,25.435964,Summit
98,103.1024948,3.706995,Anzinger
99,27.2018656,51.287518,Rockefeller
100,105.924,48.80189,Texas
101,47.9221616,46.1998296,Cardinal
